Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
A-BT-US,Atlas IED,DSP,"The Atmosphere A-BT is a remote Bluetooth&trade; audio input (mono) to an Atmosphere AZM audio processor. This expansion allows the Bluetooth&trade; receiver to be optimally placed for wireless coverage. The AZM will automatically detect the A-BT and dynamically assign appropriate audio settings, such as makeup gain, EQ, and auto gain control, to that input. The stereo source audio is summed to a mono signal before being sent to the AZM.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows for up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. Up to 1x audio input accessory can be added to each accessory port.",449.22,738
A-BT-US-B,Atlas IED,DSP,"The Atmosphere A-BT-B is a remote Bluetooth&trade; audio input (mono) to an Atmosphere AZM audio processor. This expansion allows the Bluetooth&trade; receiver to be optimally placed for wireless coverage. The AZM will automatically detect the A-BT and dynamically assign appropriate audio settings, such as makeup gain, EQ, and auto gain control, to that input. The stereo source audio is summed to a mono signal before being sent to the AZM.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows for up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. Up to 1x audio input accessory can be added to each accessory port.",449.22,738
ALA10TAW,Atlas IED,Speakers - Column,Atlas IED EN54-24 Certified 10 Speaker Full Range Line Array Speaker System (white finish),1684.26,"2,767.00"
ALA10TAW-B,Atlas IED,Speakers - Column,Atlas IED EN54-24 Certified 10 Speaker Full Range Line Array Speaker System (black finish),1684.26,"2,767.00"
ALA15TAW,Atlas IED,Speakers - Column,Atlas IED EN54-24 Certified 15 Speaker Full Range Line Array Speaker System (white finish),1866.87,"3,067.00"
ALA15TAW-B,Atlas IED,Speakers - Column,Atlas IED EN54-24 Certified 15 Speaker Full Range Line Array Speaker System (black finish),1866.87,"3,067.00"
ALA20TAW,Atlas IED,Speakers - Column,Atlas IED EN54-24 Certified 20 Speaker Full Rnge Line Array Speaker System (white finish),2390.35,"3,927.00"
ALA20TAW-B,Atlas IED,Speakers - Column,Atlas IED EN54-24 Certified 20 Speaker Full Range Line Array Speaker System (black finish),2390.35,"3,927.00"
ALA5TAW,Atlas IED,Speakers - Column,Atlas IED EN54-24 Certified 5 Speaker Full Range Line Array Speaker System (white finish),1205.83,"1,981.00"
ALA5TAW-B,Atlas IED,Speakers - Column,Atlas IED EN54-24 Certified 5 Speaker Full Range Line Array Speaker System (black finish),1205.83,"1,981.00"
ALAPMK,Atlas IED,Speakers - Column,Atlas IED Pole Mount Bracket for Use with ALA Series Speakers,45.04,74
ALELB1-B,Atlas IED,Speakers - Column,"Atlas IED ALA, WLL MNT SYS BLK",445.57,732
ALELB1-W,Atlas IED,Speakers - Column,"Atlas IED ALA, WLL MNT SYS WHT",445.57,732
ALELCP-B,Atlas IED,Speakers - Column,"Atlas IED ALA, ENCL CONN PLTS BLK",139.39,229
ALELCP-W,Atlas IED,Speakers - Column,"Atlas IED ALA, ENCL CONN PLTS WHT",139.39,229
ALX-16D,Atlas IED,Speakers - Steerable Column,"AOR Atlas IED Digitally Steerable, Multichannel 16-Speaker Column Array Loudspeaker",19077.13,"31,341.00"
ALX-24D,Atlas IED,Speakers - Steerable Column,"AOR Atlas IED Digitally Steerable, Multichannel 24-Speaker Column Array Loudspeaker",26743.04,"43,935.00"
ALX-32D,Atlas IED,Speakers - Steerable Column,"AOR Atlas IED Digitally Steerable, Multichannel 32-Speaker Column Array Loudspeaker",35637.3,"58,547.00"
ALX-40D,Atlas IED,Speakers - Steerable Column,"AOR Atlas IED Digitally Steerable, Multichannel 40-Speaker Column Array Loudspeaker",44570.52,"73,223.00"
ALX-48D,Atlas IED,Speakers - Steerable Column,"AOR Atlas IED Digitally Steerable, Multichannel 48-Speaker Column Array Loudspeaker",53484.87,"87,868.00"
ALX-4D,Atlas IED,Speakers - Steerable Column,"Atlas IED Digitally Steerable, Multichannel 4-Speaker Column Array Loudspeaker",6188,"10,166.00"
ALX-8D,Atlas IED,Speakers - Steerable Column,"Atlas IED Digitally Steerable, Multichannel 8-Speaker Column Array Loudspeaker",8915.57,"14,647.00"
A-RCA-US,Atlas IED,DSP,"The Atmosphere A-RCA is a remote RCA/3.5mm audio input to an Atmosphere AZM audio processor. This expansion acts identically to the on-board RCA inputs. The AZM will automatically detect the A-RCA and dynamically assign appropriate audio settings, such as makeup gain, EQ, and auto gain control, to that input. The stereo inputs are summed to a mono signal before being sent to the AZM.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. Up to 1x audio input accessory can be added to each accessory port.",334.78,550
A-RCA-US-B,Atlas IED,DSP,"The Atmosphere A-RCA-B is a remote RCA/3.5mm audio input to an Atmosphere AZM audio processor. This expansion acts identically to the on-board RCA inputs. The AZM will automatically detect the A-RCA and dynamically assign appropriate audio settings, such as makeup gain, EQ, and auto gain control, to that input. The stereo inputs are summed to a mono signal before being sent to the AZM.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. Up to 1x audio input accessory can be added to each accessory port.",334.78,550
